ElementName	ElementCode	ElementLabel	ExtendedElementLabel
Gender	1	Male	
Gender	2	Female	
Group	1	Cancer Patient	
Group	2	Caregiver	
Group	3	Control	
SCID.depression	0	Not Depressed	
SCID.depression	1	Depressed	
DEPGROUP	1	Depressed - Patient	
DEPGROUP	2	Not Depressed - Patient	
DEPGROUP	3	Depressed - Caregiver	
DEPGROUP	4	Not Depressed - Caregiver	
DEPGROUP	5	Not Depressed - Control	
Ethnicity	1	Caucasian	
Ethnicity	2	Asian	
Ethnicity	3	Other	
Antidepressant.use	1	Yes	
Antidepressant.use	2	No	
Cancer.Stage	1	Early 1/2	
Cancer.Stage	2	Late 3/4	
Cancer.Stage	3	Hematologic	
Active.Treatment	0	None	
Active.Treatment	1	Chemo Or Radiation	
Cancer.Type	1	Lung	
Cancer.Type	2	GI (gastric, liver, colorectal, gallbladder, pancreatic)	
Cancer.Type	3	Gyne	
Cancer.Type	4	Breast	
Cancer.Type	5	Haematologic	
Cancer.Type	9996	Other	Skin
Cancer.Type	9996	Other	Kidney
Cancer.Type	9996	Other	mesothelioma
Cancer.Type	9996	Other	Unknown primary/ENT
Cancer.Type	9996	Other	Unknown primary/Colorectal
SES			
Total.Depression			
Ham.Anxiety			
Ham.Depression			
Ham.Insomnia			
Ham.Somatic			
Anxiety			
Health.worries			
Sad.Dep			
Restlessness			
No.interest.in.ppl			
No.interest.in.act			
Diff.making.decisions			
Strange.thoughts			
Allover.sick			
Dif.getting.to.sleep			
Dif.staying.alseep			
Sleep.too.much			
Nausea			
Vomiting			
Loss.appetite			
Fatigue			
Distractibility			
Body.aches			
Joint.Pain			
Other.Pain			
Episodes.of.confusion			
Wordfinding.probs			
Memory.probs			
Irratibility			
Decreased.Motivation			
Hallucinations			
Lack.of.emotion			
Mood.swings			
Tension			
Slowed.movements			
Tremor.shakiness			
Walking.probs			
Vision.probs			
Bowel.bladder.probs			
Loss.of.interest.in.sex			
Fever			
Headaches			
Total.NRS			
NRS.insomnia			
NRS.pain			
NRS.cognitive			
